id,lang,lemma,alt_lemma,label,rank,count,rate
44437,lat,solus,solus1,"sōlus, sōla, sōlum",114,4770,10.737
13087,lat,debeo,debeo,"dēbeō, dēbēre, dēbuī, dēbitum",115,4761,10.717
42770,lat,scio,scio,"sciō, scīre, scīvī / sciī, scītum",116,4731,10.649
40291,lat,ratio,ratio,"ratiō, ratiōnis, f.",117,4694,10.566
47587,lat,terra,terra,"terra, terrae, f.",118,4645,10.456
42874,lat,scribo,scribo,"scrībō, scrībere, scrīpsī, scrīptum",119,4611,10.379
8096,lat,ceterus,ceterum2,"cēterus, cētera, cēterum",120,4540,10.219
39839,lat,quaero,quaero,"quaerō, quaerere, quaesīvī, quaesītum",121,4512,10.156
50924,lat,vita,uita,"vīta, vītae, f.",122,4462,10.044
30675,lat,natura,natura,"nātūra, nātūrae, f.",123,4431,9.974
27965,lat,magis,magis1,magis,124,4423,9.956
15327,lat,domus,domus,"domus, domūs, f.",125,4421,9.952
27360,lat,longus,longus,"longus, longa, longum",126,4417,9.943
12052,lat,credo,credo,"crēdō, crēdere, crēdidī, crēditum",127,4391,9.884
4887,lat,audio,audio,"audiō, audīre, audīvī / audiī, audītum",128,4385,9.871
21531,lat,hostis,hostis,"hostis, hostis m./f.",129,4295,9.668
8050,lat,certus,certus,"certus, certa, certum",130,4287,9.65
35824,lat,peto,peto,"petō, petere, petīvī, petītum",131,4274,9.621
51044,lat,voco,voco,"vocō, vocāre, vocāvī, vocātum",132,4273,9.618
29617,lat,mitto,mitto,"mittō, mittere, mīsī, missum",133,4267,9.605
3623,lat,apud,apud,apud,134,4261,9.591
28131,lat,malus,malus1,"malus, mala, malum",135,4152,9.346
37210,lat,post,post1,post,136,4139,9.317
415,lat,accipio,accipio,"accipiō, accipere, accēpī, acceptum",137,4132,9.301
15520,lat,dum,dum1,dum,138,4122,9.279
3045,lat,annus,annus,"annus, annī, m.",139,4113,9.258
25674,lat,iubeo,jubeo,"iubeō, iubēre, iussī, iussum",140,4072,9.166
26839,lat,lex,lex,"lēx, lēgis f.",141,3980,8.959
13482,lat,deinde,deinde,deinde,142,3948,8.887
50884,lat,virtus,virtus,"virtūs, virtūtis, f.",143,3946,8.882
21963,lat,igitur,igitur,igitur,144,3931,8.849
15531,lat,duo,duo,"duo, duae, duo",144,3931,8.849
43595,lat,sequor,sequor,"sequor, sequī, secūtus sum",146,3902,8.783
11351,lat,contra,contra,contrā,147,3868,8.707
7071,lat,capio,capio1,"capiō, capere, cēpī, captum",148,3793,8.538
40100,lat,quisque,quisque,"quisque, quaeque, quidque",149,3764,8.473
11187,lat,consul,consul,"cōnsul, cōnsulis, m.",150,3738,8.414
39751,lat,qua,qua1,quā,151,3727,8.389
42024,lat,saepe,saepe,saepe,152,3705,8.34
4071,lat,arma,arma,"arma, armōrum, n. pl.",153,3704,8.338
6551,lat,caesar,caesar,"Caesar, Caesaris, m.",154,3657,8.232
39898,lat,quantus,quantus1,"quantus, quanta, quantum",155,3654,8.225
31451,lat,novus,novus,"novus, nova, novum",156,3634,8.18
42503,lat,satis,satis1,satis,157,3616,8.14
25803,lat,ius2,jus2,"iūs, iūris, n.",158,3610,8.126
47465,lat,teneo,teneo,"teneō, tenēre, tenuī, tentum",159,3591,8.083
43406,lat,senatus,senatus1,"senātus, senātūs, m.",160,3548,7.986
15474,lat,duco,duco,"dūcō, dūcere, dūxī, ductum",161,3435,7.732
29323,lat,miles,miles,"mīles, mīlitis, m.",162,3404,7.662
11043,lat,consilium,consilium,"cōnsilium, cōnsiliī, n.",163,3396,7.644
32961,lat,opus,opus1,"opus, operis, n.",164,3394,7.64
29960,lat,mors,mors,"mors, mortis, f.",165,3372,7.59
43382,lat,semper,semper,semper,166,3339,7.516
40095,lat,quis2,quis2,"quis, quid (aliquis, aliquid)",167,3320,7.473
37030,lat,pono,pono,"pōnō, pōnere, posuī, positum",168,3285,7.394
16677,lat,ergo,ergo,ergō,169,3283,7.39
49794,lat,utor,utor,"ūtor, ūtī, ūsus sum",170,3280,7.383
27218,lat,littera,littera,"littera, litterae f.",171,3255,7.327
40830,lat,relinquo,relinquo,"relinquō, relinquere, relīquī, relictum",172,3213,7.232
40107,lat,quo,quo2,quō,173,3198,7.199
40099,lat,quisquam,quisquam,"quisquam, quicquam / quidquam",174,3189,7.178
44071,lat,similis,similis,"similis, simile",175,3181,7.16
3631,lat,aqua,aqua,"aqua, aquae, f.",176,3170,7.136
28713,lat,medius,medius1,"medius, media, medium",177,3169,7.133
20451,lat,gravis,gravis,"gravis, grave",178,3163,7.12
29684,lat,modus,modus,"modus, modī, m.",179,3134,7.055
18699,lat,fides,fides1,"fidēs, fideī, f.",180,3103,6.985
19166,lat,fortuna,fortuna,"fortūna, fortūnae, f.",181,3091,6.958
32381,lat,oculus,oculus,"oculus, oculī, m.",182,3084,6.942
44365,lat,soleo,soleo,"soleō, solēre, soluī, solitum",183,3070,6.911
40630,lat,refero,refero,"referō, referre, rettulī, relātum",184,3067,6.904
49458,lat,ullus,ullus,"ūllus, ūlla, ūllum",185,3046,6.856
18750,lat,filius,filius,"fīlius, fīliī, m.",186,3044,6.852
38329,lat,prior,prior,"prior, prius",187,3026,6.811
45442,lat,sub,sub,sub,188,3018,6.793
30017,lat,moveo,moveo,"moveō, movēre, mōvī, mōtum",189,3009,6.773
30920,lat,nemo,nemo,"nēmō, nēminis, m/f.",190,3003,6.76
8936,lat,civitas,civitas,"cīvitās, cīvitātis, f.",191,3001,6.755
7172,lat,caput,caput,"caput, capitis, n.",192,2992,6.735
15279,lat,dolor,dolor,"dolor, dolōris, m.",193,2985,6.719
18149,lat,facilis,facilis,"facilis, facile",194,2973,6.692
26947,lat,licet,licet,licet,195,2966,6.676
50746,lat,vinco,vinco,"vincō, vincere, vīcī, victum",196,2942,6.622
49780,lat,uterque,uter3,"uterque, utraque, utrumque",197,2940,6.618
33184,lat,os,os1,"ōs, ōris, n.",198,2931,6.598
51186,lat,vox,vox,"vōx, vōcis, f.",199,2915,6.562
31452,lat,nox,nox,"nox, noctis, f.",200,2912,6.555
51013,lat,vivo,vivo,"vīvō, vīvere, vīxī, vīctum",201,2879,6.481
44277,lat,sive,sive,sīve,202,2870,6.46
20030,lat,gero,gero1,"gerō, gerere, gessī, gestum",203,2837,6.386
3522,lat,appello2,appello2,"appellō, appellāre, appellāvī, appellātum",204,2825,6.359
25231,lat,invenio,invenio,"inveniō, invenīre, invēnī, inventum",205,2811,6.328
39919,lat,quasi,quasi,quasi,206,2802,6.307
28357,lat,mare,mare,"mare, maris, n.",207,2763,6.219
42224,lat,salus,salus,"salūs, salūtis f.",208,2756,6.204
19974,lat,gens,gens,"gēns, gentis, f.",209,2741,6.17
49886,lat,vale,valeo,valē [sg.] / valēte [pl.],209,0,0
49895,lat,valeo,valeo,"valē (sg.), valēte (pl.)",210,2740,6.168
43451,lat,sententia,sententia,"sententia, sententiae f.",211,2730,6.145
29005,lat,mens,mens,"mēns, mentis, f.",212,2705,6.089
25703,lat,iudicium,judicium,"iūdicium, iūdiciī, n.",213,2694,6.064
19221,lat,frater,frater,"frāter, frātris, m.",214,2688,6.051
32972,lat,oratio,oratio,"ōrātiō, orātiōnis, f.",215,2677,6.026
31693,lat,o,o2,o,216,2672,6.015
24660,lat,intellego,intellego,"intellegō, intellegere, intelllēxī, intellēctum",217,2661,5.99
43466,lat,sentio,sentio,"sentiō, sentīre, sēnsī, sēnsum",218,2660,5.988
40129,lat,quoniam,quoniam,quoniam,219,2617,5.891
50500,lat,vester,uester,"vester, vestra, vestrum",219,2617,5.891
31576,lat,numquam,numquam,numquam,221,2599,5.85
29988,lat,mos,mos,"mōs, mōris, m.",222,2589,5.828
40548,lat,reddo,reddo,"reddō, reddere, reddidī, redditum",223,2588,5.826
27370,lat,loquor,loquor,"loquor, loquī, locūtus sum",224,2583,5.814
25691,lat,iudex,judex,"iūdex, iūdicis, m.",225,2560,5.763
47078,lat,talis,talis,"tālis, tāle",226,2554,5.749
4169,lat,ars,ars,"ars, artis, f.",227,2549,5.738
20408,lat,gratia,gratia,grātiā,228,2541,5.72
29539,lat,miser,miser,"miser, misera, miserum",229,2528,5.69
42351,lat,sanguis,sanguis,"sanguen, sanguinis, n.",230,2521,5.675
12479,lat,cura,cura,"cūra, cūrae, f.",231,2504,5.636
44098,lat,simul,simul,simul,232,2501,5.63
1955,lat,aio,aio,āiō,233,2487,5.598
21401,lat,honor,honor,"honor, honōris, m.",234,2482,5.587
30880,lat,nego,nego,"negō, negāre, negāvī, negātum",235,2480,5.582
2572,lat,amicus2,amicus2,"amīcus, amīcī, m.",236,2475,5.571
7475,lat,castrum,castra2,"castrum, castrī, n.",237,2473,5.567
19694,lat,gaius,gaius,gaius,238,2472,5.564
23201,lat,inde,inde,inde,239,2461,5.54
17378,lat,exercitus2,exercitus2,"exercitus, exercitūs, m.",240,2454,5.524
6507,lat,caelum2,caelum2,"caelum, caelī, n.",241,2449,5.513
45164,lat,sto,sto,"stō, stāre, stetī, statum",242,2433,5.477
2,lat,a2,a2,ā,243,2415,5.436
22416,lat,imperium,imperium,"imperium, imperiī, n.",245,2376,5.348
44700,lat,spes,spes,"spēs, speī, f.",246,2375,5.346
25636,lat,item,item,item,247,2361,5.315
35099,lat,periculum,periculum,"perīculum, perīculī, n.",248,2343,5.274
37317,lat,potis,potis,"potis, pote",249,2326,5.236
41669,lat,roma,roma,"Rōma, Rōmae, f.",249,2326,5.236
48432,lat,trado,trado,"trādō, trādere, trādidī, trāditum",251,2325,5.234
9404,lat,cognosco,cognosco,"cōgnōscō, cōgnōscere, cōgnōvī, cōgnitum",252,2324,5.231
28519,lat,mater,mater1,"māter, mātris, f.",253,2319,5.22
50449,lat,verum3,verus,vērum,254,2310,5.2
36546,lat,placeo,placeo,"placeō, placēre, placuī, placitum",255,2290,5.155
30623,lat,nascor,nascor,"nāscor, nāscī, nātus sum",256,2273,5.116
2356,lat,altus,altus1,"altus, alta, altum",257,2272,5.114
31365,lat,nosco,nosco,nōscō nōscere nōvī nōtum,258,2266,5.101
40103,lat,quisquis,quisquis,"quisquis, quidquid / quicquid",259,2244,5.051
28127,lat,malum,malum3,"malum, malī, n.",260,2237,5.035
44002,lat,signum,signum,"sīgnum, sīgnī, n.",261,2224,5.006
2622,lat,amor,amor,"amor, amōris, m.",262,2222,5.002
15209,lat,doceo,doceo,"doceō, docēre, docuī, doctum",263,2212,4.979
39995,lat,quin,quin,quīn,264,2211,4.977
50566,lat,vetus,vetus,"vetus, veteris",265,2201,4.954
21986,lat,ignis,ignis,"ignis, ignis, m.",266,2196,4.943
50971,lat,vitium,uitium,"vitium, vitiī, n.",267,2193,4.936
8935,lat,civis,civis,"cīvis, cīvis, m./f.",268,2187,4.923
39375,lat,puer,puer,"puer, puerī, m.",269,2181,4.909
1571,lat,aequus,aeque,aequē,270,2180,4.907
35760,lat,pes,pes,"pēs, pedis, m.",271,2179,4.905
38318,lat,princeps,princeps1,"prīnceps, principis",272,2174,4.894
44346,lat,sol,sol,"sōl, sōlis, m.",273,2171,4.887
45348,lat,studium,studium,"studium, studiī, n.",274,2170,4.885
21214,lat,hinc,hinc,hinc,275,2168,4.88
1661,lat,aetas,aetas,"aetās, aetātis, f.",276,2163,4.869
38908,lat,propter,propter1,propter,277,2160,4.862
40840,lat,reliquus,reliquus,"reliquus, reliqua, reliquum",277,2160,4.862
40561,lat,redeo,redeo,"redeō, redīre, rediī, reditum",279,2155,4.851
31700,lat,ob,ob,ob,280,2149,4.837
2609,lat,amo,amo,"amō, amāre, amāvī, amātum",281,2118,4.768
48249,lat,tollo,tollo,"tollō, tollere, sustulī, sublātum",282,2112,4.754
1819,lat,ager,ager,"ager, agrī, m.",283,2111,4.752
20792,lat,haud,haud,haud,284,2097,4.72
33037,lat,ordo,ordo,"ōrdō, ōrdinis, m.",285,2087,4.698
9405,lat,cogo,cogo,"cōgō, cōgere, coēgī, coāctum",286,2086,4.696
15611,lat,dux,dux,"dux, ducis, m./f.",287,2071,4.662
49210,lat,tunc,tunc,tunc,288,2062,4.642
39153,lat,provincia,provincia,"prōvincia, prōvinciae, f.",289,2061,4.639
25907,lat,labor2,labor2,"labor, labōris, m.",290,2054,4.624
8435,lat,cicero,cicero,cicero,291,2049,4.612
15309,lat,dominus,dominus,"dominus, dominī, m.",292,2042,4.597
44151,lat,singulus,singulus,"singulī, singulae, singula",293,2041,4.594
48107,lat,timeo,timeo,"timeō, timēre, timuī",294,2037,4.585
15133,lat,diu,diu,diū,295,2025,4.558
34204,lat,patior,patior,"patior, patī, passus sum",296,2021,4.549
21866,lat,ibi,ibi,ibi,297,2018,4.542
1246,lat,adsum,adsum,"adsum, adesse, adfuī, adfūtūrus",298,2012,4.529
9343,lat,coepi,coepio,"coepī, coepisse, coeptum",299,1992,4.484
31554,lat,numerus,numerus,"numerus, numerī, m.",300,1991,4.482
12477,lat,cur,cur,cur,301,1987,4.473
34251,lat,paucus,paucus,"paucī, paucae, pauca",302,1986,4.47
39346,lat,publius,publius,publius,303,1984,4.466
49574,lat,unde,unde,unde,304,1978,4.452
18767,lat,finis,finis,"finis, finis, m.",305,1974,4.443
40755,lat,regnum,regnum,"rēgnum, rēgnī, n.",306,1972,4.439
19436,lat,fugio,fugio,"fugiō, fugere, fūgī, fugitum",307,1963,4.419
34371,lat,pecunia,pecunia,"pecūnia, pecūniae, f.",308,1953,4.396
34349,lat,pectus,pectus,pectus,309,1947,4.383
26869,lat,liber,liber1,"līber, lībera, līberum",310,1939,4.365
39191,lat,proximus,proximus,"proximus, proxima, proximus",311,1938,4.362
5597,lat,bene,bene1,bene,312,1932,4.349
39860,lat,qualis,qualis,"quālis, quāle",313,1918,4.317
29277,lat,metus,metus,metus,314,1914,4.308
17462,lat,existimo,existimo,"exīstimō, exīstimāre, exīstimāvī, exīstimatum",315,1902,4.281
43731,lat,servo,servo,"servō, servāre, servāvī, servātum",315,1902,4.281
26823,lat,levis,levis,levis,317,1889,4.252
803,lat,addo,addo,"addō, addere, addīdī, addītum",318,1884,4.241
48742,lat,tres,tres,tres,318,1884,4.241
15838,lat,efficio,efficio,efficio,320,1881,4.234
11157,lat,consto,consto,"cōnstat, cōnstare, cōnstitit",321,1877,4.225
14509,lat,dignus,dignus,"dīgnus, dīgna, dīgnum",322,1859,4.185
4857,lat,auctor,auctor,"auctor, auctōris, m.",323,1858,4.182
29353,lat,mille,mille,"mīlle, (pl.) mīlia",324,1855,4.176
50585,lat,via,via,"via, viae, f.",325,1844,4.151
23801,lat,ingenium,ingenium,"ingenium, ingeniī, n.",326,1838,4.137
4883,lat,audeo,audeo,"audeō, audēre, ausus sum",327,1832,4.124
25410,lat,ira,ira,"īra, īrae, f.",328,1825,4.108
1342,lat,adverto,adverto,"advertō, advertere, advertī, adversum",329,1823,4.104
11557,lat,copia,copia1,"cōpia, cōpiae, f.",330,1822,4.101
34928,lat,pereo,pereo,"pereō, perīre, periī, peritūrus",331,1820,4.097
32876,lat,oportet,oportet,"oportet, oportēre, oportuit",332,1809,4.072
49735,lat,usque,usque,usque,333,1805,4.063
1721,lat,affero,affero,"afferō / adferō, afferre / adferre, attulī, allātum",334,1801,4.054
26595,lat,lego2,lego2,"legō, legere, lēgī, lēctum",334,1801,4.054
41233,lat,respondeo,respondeo,"respondeō, respondēre, respondī, respōnsum",336,1790,4.029
40421,lat,recipio,recipio,recipio,337,1777,4
25637,lat,iter,iter,"iter, itineris, n.",338,1776,3.998
50789,lat,vinum,vinum,"vīnum, vīnī, n.",338,1776,3.998
43653,lat,sermo,sermo,sermo,340,1774,3.993
39874,lat,quamquam,quamquam,quamquam,341,1771,3.986
19160,lat,fortis,fortis,"fortis, forte",342,1770,3.984
12425,lat,cunctus,cunctus,"cūnctus, cūncta, cūnctum",343,1769,3.982
31032,lat,nescio,nescio,"nesciō, nescīre, nescīvī / nesciī, nescītum",344,1764,3.971
21022,lat,hercules,hercules,"Herculēs, Herculis/Herculī, m.",344,1764,3.971
51135,lat,voluptas,voluptas,"voluptās, voluptātis, f.",346,1763,3.968
51207,lat,vulnus,vulnus,"vulnus, vulneris, n.",347,1762,3.966
6442,lat,cado,cado,"cadō, cadere, cecidī, cāsum",348,1761,3.964
298,lat,absum,absum,"absum, abesse, āfuī / abfuī, āfutūrus / abfutūrus",349,1760,3.962
29854,lat,mons,mons,"mōns, montis, m.",350,1758,3.957
2156,lat,alienus,alienus1,"aliēnus, aliēna, aliēnum",351,1752,3.944
25704,lat,iudico,judico,"iūdicō, iūdicāre, iūdicāvī, iūdicātum",352,1749,3.937
33837,lat,par,par,"pār, paris",352,1749,3.937
46319,lat,super2,super2,super,354,1746,3.93
47106,lat,tamquam,tamquam,tamquam,356,1728,3.89
47635,lat,tertius,tertius1,"tertius, tertia, tertium",357,1720,3.872
32897,lat,oppidum,oppidum,"oppidum, oppidī, n.",358,1719,3.869
41666,lat,rogo,rogo,"rogō, rogāre, rogāvī, rogātum",359,1716,3.863
42712,lat,scelus,scelus,"scelus, sceleris, n.",360,1708,3.845
13343,lat,defendo,defendo,"dēfendō, dēfendere, dēfendī, dēfēnsum",361,1706,3.84
29946,lat,morior,morior,"morior, morī, mortuus sum",362,1701,3.829
16609,lat,eques,eques,"eques, equitis, m.",363,1698,3.822
33999,lat,paro,paro1,"parō, parāre, parāvī, parātum",364,1695,3.815
892,lat,adhuc,adhuc,adhūc,365,1694,3.813
26494,lat,laus,laus1,"laus, laudis f.",365,1694,3.813
31282,lat,nolo,nolo,"nōlō, nōlle, nōluī",367,1693,3.811
20333,lat,graecus,graecus,"Graecus, Graeca, Graecum",368,1688,3.8
34320,lat,pax,pax1,"pāx, pācis, f.",369,1686,3.795
38396,lat,probo,probo,"probō, probāre, probāvī, probātum",370,1673,3.766
36671,lat,plebs,plebs,"plēbs, plēbis, f.",371,1669,3.757
20181,lat,gloria,gloria,"glōria, glōria, f.",372,1664,3.746
28208,lat,maneo,maneo,"maneō, manēre, mānsī, mānsum",373,1662,3.741
43935,lat,sicut,sicut,sīcut,374,1661,3.739
46301,lat,sumo,sumo,"sūmō, sūmere, sūmpsī, sūmptum",375,1653,3.721
19148,lat,fors,fors,"fors, fortis, f.",376,1649,3.712
5609,lat,beneficium,beneficium,"beneficium, beneficiī, n.",377,1647,3.707
50149,lat,velut,velut,velut,378,1646,3.705
40250,lat,rapio,rapio,"rapiō, rapere, rapuī, raptum",379,1640,3.692
16631,lat,equus,equus1,"equus, equī, m.",380,1639,3.689
33940,lat,parens2,parens2,"parēns, parentis, m./f.",381,1637,3.685
372,lat,accedo,accedo,"accēdō, accēdere, accessī, accessum",382,1633,3.676
18266,lat,fama,fama,"fāma, fāmae, f.",382,1633,3.676
32531,lat,officium,officium,"officium, officiī, n.",384,1630,3.669
37984,lat,praesto2,praesto2,"praestō, praestāre, praestitī, praestitum",384,1630,3.669
49541,lat,umquam,umquam,umquam,386,1629,3.667
32769,lat,opera,opera,"opera, operae, f.",387,1628,3.665
34215,lat,patria,patria,"patria, patriae, f.",388,1620,3.647
33234,lat,ostendo,ostendo,"ostendō, ostendere, ostendī, ostentum",389,1609,3.622
34262,lat,paulus,paulus1,"paulus, paula, paulum",389,1609,3.622
18400,lat,fatum,fatum,"fātum, fātī n.",391,1605,3.613
6130,lat,brevis,brevis,"brevis, breve",392,1600,3.602
26467,lat,laudo,laudo,"laudō, laudāre, laudāvī, laudātum",392,1600,3.602
25771,lat,iuppiter,iuppiter,"Iuppiter, Iovis, m.",394,1597,3.595
37000,lat,pompeius,pompeius,pompeius,395,1595,3.59
26582,lat,legio,legio,"legiō, legiōnis, f.",396,1592,3.584
48468,lat,traho,traho,"trahō, trahere, trāxī, trāctum",397,1586,3.57
38033,lat,praeter,praeter1,praeter,398,1584,3.566
3751,lat,arbitror,arbitror,"arbitror, arbitrārī, arbitrātus sum",399,1582,3.561
9946,lat,communis,communis,"commūnis, commūne",399,1582,3.561
23802,lat,ingens,ingens,"ingēns, ingentis",401,1580,3.557
37303,lat,potestas,potestas,"potestās, potestātis, f.",402,1573,3.541
48384,lat,tot,tot,tot,403,1567,3.527
47369,lat,telum,telum,"tēlum, tēlī, n.",404,1564,3.521
48775,lat,tribunus,tribunus,"tribūnus, tribūnī, m.",405,1562,3.516
38552,lat,proelium,proelium,"proelium, proeliī, n.",406,1560,3.512
4859,lat,auctoritas,auctoritas,"auctōritās, auctōritātis, f.",407,1558,3.507
12128,lat,crimen,crimen,"crīmen, crīminis, n.",407,1558,3.507
7741,lat,cedo,cedo1,"cēdō, cēdere, cessī, cessum",409,1557,3.505
13743,lat,denique,denique,dēnique,410,1553,3.496
51230,lat,vultus,vultus,"vultus, vultūs, m.",411,1550,3.489
5014,lat,aurum,aurum,"aurum, aurī, n.",412,1548,3.485
